ip,app,device,os,channel,click_time,is_attributed,click_date,duration_seconds,duration_minutes
67763,9,1,13,334,2017-11-07 10:17:22,0,2017-11-07,0,0.00
27985,18,1,18,134,2017-11-07 12:57:39,0,2017-11-07,0,0.00
27985,2,1,35,237,2017-11-07 13:33:32,0,2017-11-07,2153,35.88
75991,15,1,17,245,2017-11-08 15:38:40,0,2017-11-08,0,0.00
268888,3,1,13,452,2017-11-08 05:56:05,0,2017-11-08,0,0.00
501,3,1,22,409,2017-11-09 15:25:26,0,2017-11-09,0,0.00
70532,23,1,18,153,2017-11-08 12:04:54,0,2017-11-08,0,0.00
58194,11,1,17,219,2017-11-09 10:16:51,0,2017-11-09,0,0.00
58194,3,1,6,480,2017-11-09 13:46:18,0,2017-11-09,12567,209.45
29107,2,1,15,258,2017-11-09 02:24:40,0,2017-11-09,0,0.00
281362,17,1,17,280,2017-11-07 23:27:06,0,2017-11-07,0,0.00
114514,15,1,9,3,2017-11-08 04:42:23,0,2017-11-08,0,0.00
360762,14,1,28,463,2017-11-08 23:26:19,0,2017-11-08,0,0.00
23831,15,1,13,245,2017-11-07 20:34:34,0,2017-11-07,0,0.00
107049,2,1,19,237,2017-11-08 07:21:33,0,2017-11-08,0,0.00
17894,9,1,19,334,2017-11-07 02:11:20,0,2017-11-07,0,0.00
359956,19,42,21,213,2017-11-09 12:41:58,1,2017-11-09,0,0.00
29150,18,1,13,121,2017-11-08 12:27:00,0,2017-11-08,0,0.00
213961,5,1,18,113,2017-11-07 17:24:05,1,2017-11-07,0,0.00
145949,9,1,6,234,2017-11-07 04:55:56,0,2017-11-07,0,0.00
207366,19,0,24,213,2017-11-06 22:14:16,1,2017-11-06,0,0.00
148500,14,1,3,401,2017-11-07 01:50:07,0,2017-11-07,0,0.00
148500,15,1,19,140,2017-11-07 05:54:24,0,2017-11-07,14657,244.28
148500,15,1,13,430,2017-11-07 22:44:41,0,2017-11-07,60617,1010.28
44725,107,1,13,171,2017-11-08 00:07:51,1,2017-11-08,0,0.00
44725,2,1,19,122,2017-11-08 02:37:23,0,2017-11-08,8972,149.53
44725,64,1,15,459,2017-11-08 04:11:28,0,2017-11-08,5645,94.08
44725,12,1,9,340,2017-11-08 04:17:36,0,2017-11-08,368,6.13
44725,3,1,19,280,2017-11-08 06:43:53,0,2017-11-08,8777,146.28
44725,9,1,19,134,2017-11-08 09:42:42,1,2017-11-08,10729,178.82
44725,13,1,30,477,2017-11-08 13:19:56,0,2017-11-08,13034,217.23
44725,15,1,19,245,2017-11-08 13:29:53,0,2017-11-08,597,9.95
44725,18,1,26,134,2017-11-08 13:57:51,0,2017-11-08,1678,27.97
44725,12,1,19,259,2017-11-08 15:40:19,0,2017-11-08,6148,102.47
44725,1,2,13,134,2017-11-08 17:20:27,0,2017-11-08,6008,100.13
44725,15,2,3,245,2017-11-08 22:46:51,0,2017-11-08,19584,326.40
279609,20,1,13,259,2017-11-07 23:54:12,1,2017-11-07,0,0.00
109696,9,1,12,334,2017-11-08 15:08:39,0,2017-11-08,0,0.00
77730,12,1,8,19,2017-11-06 16:24:01,0,2017-11-06,0,0.00
359957,19,0,24,213,2017-11-09 09:55:41,0,2017-11-09,0,0.00
189936,14,1,41,439,2017-11-07 00:27:39,0,2017-11-07,0,0.00
63840,23,1,19,153,2017-11-08 10:11:11,0,2017-11-08,0,0.00
63840,19,374,29,213,2017-11-08 16:12:39,1,2017-11-08,21688,361.47
63840,12,1,19,178,2017-11-08 17:14:34,0,2017-11-08,3715,61.92
245364,2,2,9,477,2017-11-08 03:37:35,0,2017-11-08,0,0.00
55508,9,1,19,215,2017-11-09 06:15:19,0,2017-11-09,0,0.00
112228,18,1,22,134,2017-11-07 20:52:47,0,2017-11-07,0,0.00
42867,15,1,19,412,2017-11-08 23:37:48,0,2017-11-08,0,0.00
113600,15,1,13,430,2017-11-07 07:09:02,0,2017-11-07,0,0.00
90201,3,1,19,205,2017-11-08 17:34:09,0,2017-11-08,0,0.00
201558,15,1,9,430,2017-11-08 03:10:44,0,2017-11-08,0,0.00
145474,19,0,0,213,2017-11-07 17:48:20,1,2017-11-07,0,0.00
131551,2,1,19,219,2017-11-07 06:36:28,0,2017-11-07,0,0.00
152932,9,1,19,127,2017-11-09 09:43:26,0,2017-11-09,0,0.00
58127,10,1,13,317,2017-11-06 22:32:25,0,2017-11-06,0,0.00
50129,9,1,22,107,2017-11-09 07:31:28,0,2017-11-09,0,0.00
9581,12,1,19,265,2017-11-09 07:12:01,0,2017-11-09,0,0.00
261286,15,1,13,480,2017-11-09 01:55:44,0,2017-11-09,0,0.00
102766,35,1,19,21,2017-11-08 04:12:40,1,2017-11-08,0,0.00
273494,3,1,37,211,2017-11-08 03:34:42,0,2017-11-08,0,0.00
164143,29,1,40,213,2017-11-06 16:01:40,1,2017-11-06,0,0.00
67313,9,1,13,134,2017-11-09 14:16:42,0,2017-11-09,0,0.00
336542,9,1,19,232,2017-11-09 06:08:54,0,2017-11-09,0,0.00
17159,11,1,13,173,2017-11-09 09:49:07,0,2017-11-09,0,0.00
295159,19,40,24,213,2017-11-09 03:43:20,1,2017-11-09,0,0.00
95366,12,1,15,265,2017-11-09 09:07:41,0,2017-11-09,0,0.00
241551,72,1,13,101,2017-11-08 04:24:54,1,2017-11-08,0,0.00
124199,11,1,22,325,2017-11-06 23:16:50,0,2017-11-06,0,0.00
36644,3,1,53,205,2017-11-07 00:52:33,0,2017-11-07,0,0.00
51797,9,1,17,232,2017-11-09 07:01:17,1,2017-11-09,0,0.00
31071,1,1,35,134,2017-11-09 13:58:13,0,2017-11-09,0,0.00
118448,9,1,13,215,2017-11-08 06:02:38,0,2017-11-08,0,0.00
65720,1,1,17,134,2017-11-09 07:58:20,0,2017-11-09,0,0.00
4052,14,1,79,379,2017-11-09 05:42:52,0,2017-11-09,0,0.00
4052,33,3866,866,347,2017-11-09 06:01:39,0,2017-11-09,1127,18.78
4052,11,1,3,319,2017-11-09 07:27:24,0,2017-11-09,5145,85.75
47939,15,1,19,140,2017-11-08 04:07:52,1,2017-11-08,0,0.00
36052,12,1,22,259,2017-11-07 13:13:51,0,2017-11-07,0,0.00
151655,3,1,13,480,2017-11-08 04:38:58,0,2017-11-08,0,0.00
211305,2,1,19,236,2017-11-07 01:54:42,0,2017-11-07,0,0.00
111663,25,1,19,259,2017-11-07 10:13:43,0,2017-11-07,0,0.00
259487,20,1,160,259,2017-11-08 04:12:37,0,2017-11-08,0,0.00
166036,15,1,13,480,2017-11-09 01:33:40,0,2017-11-09,0,0.00
23577,21,2,19,232,2017-11-09 11:37:20,0,2017-11-09,0,0.00
147164,15,1,17,265,2017-11-06 17:20:06,0,2017-11-06,0,0.00
147164,15,1,18,3,2017-11-06 22:34:16,0,2017-11-06,18850,314.17
66355,3,1,22,280,2017-11-09 05:41:37,0,2017-11-09,0,0.00
103124,11,1,19,219,2017-11-08 15:53:20,0,2017-11-08,0,0.00
81792,14,1,53,439,2017-11-07 04:49:23,0,2017-11-07,0,0.00
81792,3,1,19,480,2017-11-07 20:03:14,0,2017-11-07,54831,913.85
41972,70,0,24,243,2017-11-07 13:28:23,1,2017-11-07,0,0.00
17353,28,1,16,135,2017-11-09 12:26:20,0,2017-11-09,0,0.00
81571,13,1,18,477,2017-11-09 09:52:03,0,2017-11-09,0,0.00
120818,9,1,19,445,2017-11-09 06:39:58,0,2017-11-09,0,0.00
43250,9,1,14,466,2017-11-08 16:02:31,0,2017-11-08,0,0.00
80244,12,1,19,259,2017-11-08 00:17:53,0,2017-11-08,0,0.00
207505,12,1,13,245,2017-11-07 16:16:36,0,2017-11-07,0,0.00
236931,9,1,31,442,2017-11-08 09:04:29,0,2017-11-08,0,0.00
236931,1,1,19,115,2017-11-08 09:41:10,0,2017-11-08,2201,36.68
124520,15,1,17,386,2017-11-07 12:27:56,0,2017-11-07,0,0.00
28722,12,1,13,178,2017-11-09 02:29:26,0,2017-11-09,0,0.00
181908,19,160,0,213,2017-11-07 13:39:31,1,2017-11-07,0,0.00
7498,19,1392,59,343,2017-11-09 10:49:47,1,2017-11-09,0,0.00
182373,12,1,20,265,2017-11-07 00:35:46,0,2017-11-07,0,0.00
346190,19,0,24,213,2017-11-09 10:17:13,1,2017-11-09,0,0.00
29241,11,1,13,481,2017-11-09 06:43:07,1,2017-11-09,0,0.00
131340,155,1,13,213,2017-11-07 05:21:34,1,2017-11-07,0,0.00
18016,3,1,19,280,2017-11-08 02:37:52,0,2017-11-08,0,0.00
320013,14,1,6,379,2017-11-08 17:20:10,1,2017-11-08,0,0.00
106228,3,1,17,379,2017-11-09 06:15:44,0,2017-11-09,0,0.00
53795,3,1,10,280,2017-11-07 04:21:19,0,2017-11-07,0,0.00
53795,3,1,8,280,2017-11-07 09:23:27,0,2017-11-07,18128,302.13
98180,13,1,18,477,2017-11-09 06:19:41,0,2017-11-09,0,0.00
98293,2,1,19,477,2017-11-07 05:21:49,0,2017-11-07,0,0.00
98293,15,1,13,245,2017-11-07 12:29:10,0,2017-11-07,25641,427.35
254477,19,0,21,213,2017-11-08 15:06:56,1,2017-11-08,0,0.00
86926,12,1,17,178,2017-11-06 16:33:22,0,2017-11-06,0,0.00
283472,1,1,13,153,2017-11-08 01:02:32,0,2017-11-08,0,0.00
28722,2,1,26,122,2017-11-06 22:50:24,0,2017-11-06,0,0.00
15742,7,1,3,101,2017-11-09 14:20:56,0,2017-11-09,0,0.00
127992,15,1,13,245,2017-11-07 01:51:51,0,2017-11-07,0,0.00
105192,3,1,15,280,2017-11-08 02:06:37,0,2017-11-08,0,0.00
288952,19,0,29,101,2017-11-09 11:58:34,1,2017-11-09,0,0.00
119383,20,1,13,259,2017-11-07 03:24:00,0,2017-11-07,0,0.00
67483,3,1,13,480,2017-11-08 09:16:06,0,2017-11-08,0,0.00
10356,12,1,15,245,2017-11-07 00:56:46,0,2017-11-07,0,0.00
10356,21,1,25,232,2017-11-07 23:59:30,0,2017-11-07,82964,1382.73
270864,19,0,0,213,2017-11-08 14:25:04,1,2017-11-08,0,0.00
136899,18,1,17,107,2017-11-08 03:37:47,0,2017-11-08,0,0.00
204473,15,1,19,278,2017-11-06 23:49:27,0,2017-11-06,0,0.00
53976,2,1,19,435,2017-11-08 13:05:18,0,2017-11-08,0,0.00
53976,15,1,66,265,2017-11-08 14:41:35,0,2017-11-08,5777,96.28
5038,8,1,1,145,2017-11-07 05:47:15,0,2017-11-07,0,0.00
40654,12,1,13,265,2017-11-09 01:44:26,0,2017-11-09,0,0.00
40654,23,1,9,153,2017-11-09 06:20:02,0,2017-11-09,16536,275.60
40654,9,1,13,334,2017-11-09 07:26:45,1,2017-11-09,4003,66.72
40654,9,1,19,127,2017-11-09 09:27:30,1,2017-11-09,7245,120.75
40654,12,1,23,259,2017-11-09 10:39:15,0,2017-11-09,4305,71.75
45929,18,1,19,134,2017-11-09 05:49:55,0,2017-11-09,0,0.00
106655,14,1,13,134,2017-11-07 17:05:23,0,2017-11-07,0,0.00
38732,18,1,13,449,2017-11-08 02:38:24,0,2017-11-08,0,0.00
38732,3,1,19,379,2017-11-08 10:47:48,0,2017-11-08,29364,489.40
38732,14,1,13,467,2017-11-08 16:48:57,0,2017-11-08,21669,361.15
32625,8,1,17,145,2017-11-07 04:21:24,0,2017-11-07,0,0.00
122251,8,1,13,145,2017-11-07 04:27:15,1,2017-11-07,0,0.00
42090,9,1,22,466,2017-11-08 14:32:54,0,2017-11-08,0,0.00
109450,1,1,22,178,2017-11-06 20:20:37,0,2017-11-06,0,0.00
239838,19,0,50,213,2017-11-08 15:55:04,1,2017-11-08,0,0.00
72196,14,2,17,467,2017-11-08 23:05:41,0,2017-11-08,0,0.00
153970,12,1,19,145,2017-11-07 05:17:26,0,2017-11-07,0,0.00
153970,24,1,22,105,2017-11-07 05:34:45,0,2017-11-07,1039,17.32
73100,18,1,6,107,2017-11-08 04:04:03,0,2017-11-08,0,0.00
73100,3,1,13,452,2017-11-08 05:00:16,0,2017-11-08,3373,56.22
73100,18,1,19,439,2017-11-08 05:57:01,0,2017-11-08,3405,56.75
73100,14,1,8,439,2017-11-08 06:59:04,0,2017-11-08,3723,62.05
73100,2,1,13,122,2017-11-08 15:04:43,0,2017-11-08,29139,485.65
192065,1,1,19,134,2017-11-07 14:12:30,1,2017-11-07,0,0.00
175442,12,1,19,265,2017-11-08 05:44:26,0,2017-11-08,0,0.00
175442,12,1,13,265,2017-11-08 08:48:24,0,2017-11-08,11038,183.97
113627,2,1,22,219,2017-11-07 04:44:15,0,2017-11-07,0,0.00
113627,2,1,22,377,2017-11-07 06:42:22,0,2017-11-07,7087,118.12
48156,15,1,19,130,2017-11-07 02:18:25,0,2017-11-07,0,0.00
96618,12,1,22,497,2017-11-08 06:47:20,0,2017-11-08,0,0.00
56459,15,1,12,130,2017-11-08 00:41:30,0,2017-11-08,0,0.00
81937,35,1,18,21,2017-11-09 03:20:40,1,2017-11-09,0,0.00
81937,26,1,22,266,2017-11-09 12:44:18,0,2017-11-09,33818,563.63
158283,24,1,19,105,2017-11-07 06:44:17,0,2017-11-07,0,0.00
152201,15,1,19,245,2017-11-07 15:33:55,0,2017-11-07,0,0.00
19287,15,1,6,480,2017-11-07 10:38:19,0,2017-11-07,0,0.00
114089,18,1,10,107,2017-11-07 14:09:01,0,2017-11-07,0,0.00
59384,12,1,10,245,2017-11-07 08:18:05,0,2017-11-07,0,0.00
59384,15,1,19,245,2017-11-07 16:03:01,0,2017-11-07,27896,464.93
119220,3,1,13,379,2017-11-08 13:28:22,0,2017-11-08,0,0.00
119220,3,1,15,280,2017-11-08 15:19:53,0,2017-11-08,6691,111.52
11109,2,1,13,469,2017-11-09 05:15:03,0,2017-11-09,0,0.00
136467,21,1,13,128,2017-11-07 05:51:09,0,2017-11-07,0,0.00
60163,13,1,17,400,2017-11-07 02:43:38,0,2017-11-07,0,0.00
60163,3,1,19,19,2017-11-07 11:46:03,0,2017-11-07,32545,542.42
60163,2,2,9,205,2017-11-07 14:40:07,0,2017-11-07,10444,174.07
60163,2,2,19,205,2017-11-07 15:10:25,0,2017-11-07,1818,30.30
193602,35,1,17,274,2017-11-06 16:39:26,1,2017-11-06,0,0.00
37458,3,1,17,424,2017-11-09 08:20:01,0,2017-11-09,0,0.00
137038,9,1,8,442,2017-11-07 10:02:19,0,2017-11-07,0,0.00
166598,2,1,6,236,2017-11-09 14:46:15,0,2017-11-09,0,0.00
139280,14,1,53,379,2017-11-08 04:46:33,0,2017-11-08,0,0.00
173196,2,1,9,477,2017-11-09 05:41:04,0,2017-11-09,0,0.00
172959,3,2,8,137,2017-11-08 16:55:00,0,2017-11-08,0,0.00
53823,35,1,20,21,2017-11-07 01:24:28,1,2017-11-07,0,0.00
43960,14,1,16,349,2017-11-07 03:45:36,0,2017-11-07,0,0.00
5147,19,0,24,210,2017-11-07 02:22:06,1,2017-11-07,0,0.00
5147,3,1,13,19,2017-11-07 06:59:47,0,2017-11-07,16661,277.68
5147,18,1,4,439,2017-11-07 09:47:00,0,2017-11-07,10033,167.22
5147,3,1,15,280,2017-11-07 10:26:09,0,2017-11-07,2349,39.15
5147,11,1,13,469,2017-11-07 10:38:36,0,2017-11-07,747,12.45
5147,9,2,9,244,2017-11-07 10:40:05,0,2017-11-07,89,1.48
5147,183,3032,607,347,2017-11-07 10:44:44,0,2017-11-07,279,4.65
5147,3,1,41,135,2017-11-07 10:56:41,0,2017-11-07,717,11.95
5147,18,1,10,107,2017-11-07 11:13:51,0,2017-11-07,1030,17.17
348485,45,1,36,419,2017-11-09 08:28:57,1,2017-11-09,0,0.00
124096,14,1,36,467,2017-11-09 10:15:15,0,2017-11-09,0,0.00
57223,20,1,6,259,2017-11-07 07:01:49,0,2017-11-07,0,0.00
46401,8,1,13,140,2017-11-08 09:04:28,1,2017-11-08,0,0.00
33403,35,1,13,274,2017-11-09 11:27:37,1,2017-11-09,0,0.00
37350,15,1,17,153,2017-11-07 10:00:42,0,2017-11-07,0,0.00
16820,3,1,15,280,2017-11-08 00:19:33,0,2017-11-08,0,0.00
132423,45,1,4,419,2017-11-07 11:09:59,1,2017-11-07,0,0.00
273533,2,1,13,219,2017-11-07 23:13:22,0,2017-11-07,0,0.00
95263,10,1,13,317,2017-11-09 04:35:50,1,2017-11-09,0,0.00
95263,12,1,19,481,2017-11-09 08:01:06,0,2017-11-09,12316,205.27
41666,1,1,10,134,2017-11-09 00:03:27,0,2017-11-09,0,0.00
37628,14,1,15,442,2017-11-08 00:07:37,0,2017-11-08,0,0.00
37628,3,1,49,480,2017-11-08 06:18:37,0,2017-11-08,22260,371.00
123955,2,1,15,236,2017-11-08 04:23:10,0,2017-11-08,0,0.00
123955,3,1,13,280,2017-11-08 07:41:36,0,2017-11-08,11906,198.43
295642,26,1,19,477,2017-11-09 12:14:46,0,2017-11-09,0,0.00
52695,21,1,7,128,2017-11-09 15:00:44,0,2017-11-09,0,0.00
110163,27,1,19,153,2017-11-08 13:28:13,0,2017-11-08,0,0.00
43343,2,2,79,477,2017-11-08 07:58:49,0,2017-11-08,0,0.00
73340,18,1,18,107,2017-11-08 07:48:49,0,2017-11-08,0,0.00
72986,18,1,9,134,2017-11-08 02:12:36,0,2017-11-08,0,0.00
72986,3,1,13,280,2017-11-08 14:24:35,0,2017-11-08,43919,731.98
72397,3,1,31,280,2017-11-09 03:04:13,0,2017-11-09,0,0.00
156716,45,1,30,419,2017-11-07 06:14:51,1,2017-11-07,0,0.00
114056,18,1,13,121,2017-11-09 02:43:22,0,2017-11-09,0,0.00
176806,9,1,20,244,2017-11-07 06:46:28,0,2017-11-07,0,0.00
176806,12,1,53,140,2017-11-07 08:12:54,0,2017-11-07,5186,86.43
211435,14,1,22,401,2017-11-07 23:34:35,0,2017-11-07,0,0.00
228058,21,2,49,128,2017-11-08 21:48:36,0,2017-11-08,0,0.00
5423,21,1,17,128,2017-11-08 16:01:23,0,2017-11-08,0,0.00
166857,2,1,12,469,2017-11-08 03:58:12,0,2017-11-08,0,0.00
208776,3,1,6,442,2017-11-06 20:36:46,1,2017-11-06,0,0.00
70226,3,1,32,442,2017-11-08 14:39:53,0,2017-11-08,0,0.00
26350,18,1,17,439,2017-11-09 05:59:09,0,2017-11-09,0,0.00
26350,18,2,65,121,2017-11-09 15:40:51,0,2017-11-09,34902,581.70
147464,29,1,13,101,2017-11-07 08:36:33,1,2017-11-07,0,0.00
220299,3,1,19,280,2017-11-08 13:23:45,1,2017-11-08,0,0.00
109135,17,1,14,311,2017-11-07 01:08:23,1,2017-11-07,0,0.00
73305,26,1,18,121,2017-11-07 02:41:22,0,2017-11-07,0,0.00
73305,27,1,13,153,2017-11-07 05:04:21,0,2017-11-07,8579,142.98
73305,15,1,18,130,2017-11-07 11:23:31,0,2017-11-07,22750,379.17
73305,26,1,14,266,2017-11-07 12:46:12,0,2017-11-07,4961,82.68
40133,11,1,36,137,2017-11-09 00:40:34,0,2017-11-09,0,0.00
348913,3,1,41,371,2017-11-09 01:03:26,0,2017-11-09,0,0.00
83524,2,1,13,469,2017-11-07 01:59:35,0,2017-11-07,0,0.00
201543,37,1,10,21,2017-11-08 11:38:51,0,2017-11-08,0,0.00
211219,13,1,8,477,2017-11-07 04:04:33,0,2017-11-07,0,0.00
202444,27,1,32,153,2017-11-08 04:52:54,0,2017-11-08,0,0.00
109735,11,1,16,173,2017-11-09 02:39:13,1,2017-11-09,0,0.00
109735,2,1,19,236,2017-11-09 03:28:03,0,2017-11-09,2930,48.83
109735,8,1,6,145,2017-11-09 03:45:45,0,2017-11-09,1062,17.70
109735,15,1,19,245,2017-11-09 07:03:07,0,2017-11-09,11842,197.37
109735,23,1,47,153,2017-11-09 15:43:09,0,2017-11-09,31202,520.03
15057,2,1,17,477,2017-11-07 20:27:35,0,2017-11-07,0,0.00
234464,3,1,17,280,2017-11-08 10:00:55,0,2017-11-08,0,0.00
58415,18,1,13,107,2017-11-09 11:13:56,0,2017-11-09,0,0.00
58415,18,1,53,121,2017-11-09 12:37:35,0,2017-11-09,5019,83.65
290556,0,357,24,101,2017-11-09 05:29:01,1,2017-11-09,0,0.00
113781,23,1,18,153,2017-11-08 01:15:19,0,2017-11-08,0,0.00
76662,6,1,53,125,2017-11-08 16:07:10,0,2017-11-08,0,0.00
109287,8,2,17,259,2017-11-09 09:22:07,0,2017-11-09,0,0.00
109287,2,1,19,469,2017-11-09 10:32:34,0,2017-11-09,4227,70.45
286227,35,1,19,21,2017-11-08 04:30:15,1,2017-11-08,0,0.00
189286,18,1,37,134,2017-11-08 11:07:55,0,2017-11-08,0,0.00
130031,29,1,19,101,2017-11-07 10:40:05,1,2017-11-07,0,0.00
137167,3,1,15,417,2017-11-07 07:12:52,0,2017-11-07,0,0.00
137167,2,1,13,469,2017-11-07 08:48:11,0,2017-11-07,5719,95.32
85856,12,1,16,245,2017-11-09 01:06:08,0,2017-11-09,0,0.00
129991,24,1,13,105,2017-11-07 14:33:45,0,2017-11-07,0,0.00
11925,16,1,37,213,2017-11-07 18:09:14,0,2017-11-07,0,0.00
39143,12,1,15,205,2017-11-08 14:08:01,0,2017-11-08,0,0.00
95843,3,1,19,280,2017-11-09 03:14:05,0,2017-11-09,0,0.00
2886,12,1,12,340,2017-11-08 22:30:42,0,2017-11-08,0,0.00
128470,19,0,866,213,2017-11-08 22:13:15,1,2017-11-08,0,0.00
119326,15,1,13,430,2017-11-09 09:40:29,0,2017-11-09,0,0.00
47264,1,1,19,377,2017-11-07 13:43:24,0,2017-11-07,0,0.00
17149,25,1,13,259,2017-11-08 02:19:25,0,2017-11-08,0,0.00
17149,12,1,13,265,2017-11-08 06:07:46,0,2017-11-08,13701,228.35
17149,19,0,24,347,2017-11-08 06:15:51,1,2017-11-08,485,8.08
17149,14,1,35,442,2017-11-08 08:54:46,0,2017-11-08,9535,158.92
17149,12,1,6,265,2017-11-08 10:40:47,0,2017-11-08,6361,106.02
17149,3,1,13,280,2017-11-08 10:43:15,0,2017-11-08,148,2.47
17149,64,1,19,459,2017-11-08 11:05:41,0,2017-11-08,1346,22.43
17149,215,3543,748,347,2017-11-08 11:26:15,0,2017-11-08,1234,20.57
17149,23,1,19,153,2017-11-08 11:39:29,0,2017-11-08,794,13.23
17149,21,2,55,128,2017-11-08 11:43:54,0,2017-11-08,265,4.42
17149,83,0,38,171,2017-11-08 12:11:07,0,2017-11-08,1633,27.22
17149,12,2,20,178,2017-11-08 12:22:26,0,2017-11-08,679,11.32
17149,15,1,10,245,2017-11-08 12:25:18,0,2017-11-08,172,2.87
17149,11,1,23,137,2017-11-08 12:29:16,0,2017-11-08,238,3.97
17149,3,2,64,280,2017-11-08 12:57:44,0,2017-11-08,1708,28.47
17149,15,1,18,386,2017-11-08 13:02:13,0,2017-11-08,269,4.48
17149,19,289,76,210,2017-11-08 13:09:53,1,2017-11-08,460,7.67
17149,14,1,13,379,2017-11-08 13:53:20,0,2017-11-08,2607,43.45
17149,2,1,16,237,2017-11-08 14:10:56,0,2017-11-08,1056,17.60
17149,15,1,19,245,2017-11-08 15:12:23,0,2017-11-08,3687,61.45
17149,3,2,97,280,2017-11-08 15:12:59,0,2017-11-08,36,0.60
17149,2,1,19,212,2017-11-08 15:35:03,0,2017-11-08,1324,22.07
17149,12,1,19,328,2017-11-08 15:53:08,0,2017-11-08,1085,18.08
17149,9,1,47,107,2017-11-08 16:14:20,0,2017-11-08,1272,21.20
17149,23,1,49,153,2017-11-08 16:48:45,0,2017-11-08,2065,34.42
17149,12,1,34,265,2017-11-08 19:51:29,0,2017-11-08,10964,182.73
17149,20,1,19,478,2017-11-08 23:05:01,1,2017-11-08,11612,193.53
329235,45,1,37,465,2017-11-09 14:14:38,1,2017-11-09,0,0.00
3162,3,1,19,280,2017-11-08 07:07:33,0,2017-11-08,0,0.00
123938,9,1,32,232,2017-11-09 10:29:21,0,2017-11-09,0,0.00
123938,21,1,3,232,2017-11-09 15:02:12,0,2017-11-09,16371,272.85
124064,9,1,19,127,2017-11-09 00:02:12,0,2017-11-09,0,0.00
124064,2,1,11,477,2017-11-09 11:54:31,0,2017-11-09,42739,712.32
41463,11,1,17,122,2017-11-09 14:39:09,0,2017-11-09,0,0.00
137052,6,1,18,459,2017-11-06 19:20:47,0,2017-11-06,0,0.00
