ip,app,total_clicks,click_time_range
67494,3,1,0
72610,18,1,0
348659,12,1,0
230149,1,1,0
96165,2,1,0
87460,9,1,0
162270,19,1,0
39350,2,1,0
106559,82,1,0
69944,18,2,233
323748,5,1,0
2528,21,1,0
93215,9,1,0
125322,13,1,0
315,3,1,0
2372,15,1,0
138793,18,1,0
298238,19,1,0
35396,3,1,0
44494,12,5,3695
75329,12,1,0
68963,14,1,0
118867,15,1,0
339655,16,1,0
77085,18,1,0
65785,12,1,0
291419,19,1,0
75634,9,4,844
26890,9,1,0
6908,11,1,0
10274,9,1,0
87651,12,1,0
28425,15,1,0
25116,18,1,0
265798,10,1,0
241067,15,1,0
174950,12,1,0
306259,162,1,0
72951,3,2,2323
225816,18,1,0
352558,155,1,0
199374,2,1,0
56256,18,1,0
329068,19,1,0
93450,35,2,1524
92860,3,2,2401
83451,8,1,0
309025,29,1,0
82239,3,1,0
197132,15,1,0
181341,9,1,0
110833,20,1,0
73065,23,1,0
1517,19,1,0
125362,32,1,0
211204,15,1,0
266434,3,1,0
116964,15,1,0
98489,18,1,0
127566,14,1,0
2332,2,1,0
67407,11,1,0
362858,3,1,0
37972,14,1,0
35989,12,1,0
89946,18,1,0
26375,60,1,0
53730,18,1,0
65659,9,1,0
925,27,1,0
22374,28,1,0
12281,12,1,0
31456,15,1,0
170395,21,1,0
338066,72,1,0
34691,29,1,0
14574,12,1,0
52609,12,1,0
164375,9,1,0
160306,3,1,0
118393,3,2,1350
200612,8,1,0
357677,19,1,0
98881,18,1,0
37862,18,1,0
103517,27,1,0
23233,12,1,0
85084,3,1,0
124715,24,1,0
32599,23,1,0
94059,12,1,0
232061,3,1,0
174119,9,1,0
46595,15,2,543
30272,3,1,0
201182,13,1,0
21013,9,1,0
104468,18,1,0
67379,15,1,0
48875,18,1,0
46257,2,1,0
107541,12,1,0
12134,2,1,0
105560,24,1,0
60985,15,2,530
75595,14,2,1184
110529,12,1,0
71201,13,1,0
103817,3,1,0
190782,116,1,0
26929,20,1,0
293481,3,1,0
83127,9,2,2964
59868,3,1,0
55717,15,1,0
27175,2,1,0
1285,9,1,0
50191,10,1,0
176288,2,1,0
27807,23,1,0
94031,35,1,0
125798,3,1,0
91398,9,1,0
281822,1,1,0
263103,35,1,0
358707,19,1,0
342934,29,1,0
35696,18,1,0
62315,9,1,0
4353,3,2,2471
34663,3,1,0
101185,19,1,0
125222,28,1,0
158759,14,1,0
119851,11,1,0
3918,9,1,0
49082,2,1,0
125815,15,1,0
17321,9,1,0
278052,9,1,0
143609,21,1,0
35929,11,1,0
93836,14,2,1388
254268,18,1,0
80762,26,1,0
9876,2,1,0
68333,12,1,0
232048,12,1,0
295473,5,1,0
155557,20,1,0
3698,9,1,0
276293,18,1,0
57642,15,1,0
245757,2,1,0
137052,1,2,322
72951,20,1,0
125401,35,1,0
18942,9,2,1839
122462,13,1,0
100776,3,1,0
89005,12,1,0
28132,3,2,1560
102025,27,1,0
134883,2,1,0
225683,23,1,0
2579,3,1,0
5032,3,3,3175
9383,21,1,0
43793,20,1,0
133800,1,1,0
49582,9,1,0
29786,3,1,0
83000,35,1,0
119252,2,1,0
108858,15,4,2469
96862,6,1,0
108947,18,1,0
165370,1,1,0
98180,13,1,0
248646,10,1,0
5118,3,1,0
15530,2,1,0
259610,18,1,0
64765,9,1,0
64142,17,1,0
281769,3,1,0
108413,14,1,0
10785,10,1,0
65598,11,1,0
14776,3,1,0
86926,11,1,0
82012,14,2,524
194403,9,1,0
32612,8,1,0
8710,12,1,0
105304,25,1,0
83422,9,1,0
117524,3,1,0
64137,9,1,0
47860,9,1,0
129243,15,1,0
85970,3,1,0
38783,12,1,0
75431,26,1,0
64711,24,1,0
138438,9,1,0
53625,6,1,0
125748,12,1,0
15687,2,2,210
211569,15,1,0
117148,3,2,2200
34897,12,2,2610
135492,29,1,0
157270,3,1,0
31520,14,1,0
95766,19,9,3523
14897,14,1,0
180019,18,1,0
73032,9,1,0
73065,28,1,0
148433,21,1,0
134401,14,1,0
84635,18,2,2757
99480,25,1,0
81834,8,1,0
108485,2,1,0
54052,29,1,0
76872,8,1,0
103385,13,1,0
351754,19,1,0
20855,2,1,0
116386,12,1,0
28283,35,1,0
69794,12,1,0
34437,15,1,0
121909,15,1,0
236369,10,1,0
53529,3,1,0
262510,12,1,0
73065,29,1,0
8330,21,1,0
84417,19,1,0
325220,2,1,0
73220,9,1,0
183411,3,1,0
9946,18,1,0
90485,3,6,2953
192965,3,1,0
154430,9,1,0
328090,19,1,0
303795,18,1,0
263143,14,1,0
25648,2,5,3400
93089,72,1,0
100959,15,1,0
28310,12,1,0
18129,8,1,0
67734,8,2,2
192537,15,1,0
32230,1,2,3764
79614,1,1,0
84499,3,1,0
75200,18,1,0
149061,3,1,0
113659,15,1,0
58537,19,1,0
64609,3,4,1731
61861,1,1,0
10482,2,1,0
100066,21,1,0
12191,96,1,0
116013,3,1,0
70432,18,1,0
50510,15,1,0
342352,19,1,0
32639,35,1,0
133152,12,2,836
231861,12,1,0
54946,15,1,0
60241,18,1,0
145542,12,1,0
102082,12,1,0
94246,1,1,0
228908,1,1,0
22943,19,1,0
24980,9,1,0
258558,19,1,0
19171,12,1,0
125217,9,1,0
339150,18,1,0
17204,14,1,0
319008,3,1,0
86845,2,1,0
101395,3,2,1355
106186,12,1,0
33772,2,1,0
154791,3,1,0
333155,29,1,0
247810,19,1,0
100121,26,2,1268
117389,7,1,0
97744,1,2,3097
120673,15,1,0
83659,12,1,0
126849,15,1,0
42360,9,1,0
339967,34,1,0
23866,23,1,0
354291,3,1,0
48139,9,1,0
121942,23,1,0
149535,20,1,0
117867,14,1,0
59287,26,1,0
89405,12,1,0
22300,2,1,0
209105,14,1,0
155518,13,1,0
34166,1,1,0
163304,9,1,0
79787,12,1,0
75595,10,1,0
191797,9,1,0
362302,9,1,0
118315,2,2,1711
348713,3,2,1
135721,12,1,0
37964,20,1,0
121839,1,1,0
30869,12,1,0
62904,12,1,0
299736,5,1,0
3994,15,3,1494
203604,19,1,0
55256,8,1,0
58202,18,1,0
166376,8,1,0
171125,150,1,0
154174,35,1,0
12607,9,1,0
120378,12,1,0
69173,8,1,0
22135,3,1,0
1025,1,1,0
88954,12,1,0
83576,18,1,0
5314,107,1,0
55002,3,1,0
113245,3,1,0
30240,9,1,0
2810,11,1,0
14874,3,1,0
59868,2,1,0
110009,15,1,0
23960,1,1,0
223281,1,1,0
4720,12,1,0
10097,2,1,0
96225,3,1,0
57277,9,1,0
40289,18,1,0
15195,3,11,2853
121095,15,2,1329
299906,39,1,0
77091,21,1,0
193387,45,1,0
305807,5,1,0
152201,15,1,0
102772,64,1,0
92872,2,1,0
204086,15,1,0
106479,3,1,0
28070,12,1,0
112553,12,1,0
81060,2,1,0
188251,155,1,0
57723,8,1,0
102035,3,1,0
80660,20,1,0
62245,9,1,0
39361,1,1,0
50565,35,1,0
61163,3,1,0
50451,9,1,0
134311,19,1,0
227751,19,1,0
35793,27,1,0
106105,21,1,0
18753,12,2,94
40158,2,1,0
132798,19,1,0
42539,2,1,0
30587,6,1,0
74785,2,1,0
29054,9,1,0
134812,45,1,0
204987,12,1,0
101358,11,1,0
123837,12,1,0
25431,18,1,0
130705,15,1,0
128025,18,1,0
277115,3,1,0
106308,14,1,0
273084,2,1,0
278464,13,1,0
29943,21,1,0
50646,14,1,0
83194,15,1,0
214659,5,1,0
43957,15,1,0
50284,3,2,1327
82865,9,1,0
31544,3,1,0
262288,2,1,0
32262,6,1,0
6330,27,1,0
171536,9,1,0
33921,19,1,0
58642,2,1,0
74999,9,1,0
6553,12,1,0
237706,19,1,0
55056,21,1,0
280899,45,1,0
262042,29,1,0
121239,8,1,0
355876,10,1,0
24961,21,1,0
74936,2,1,0
106435,12,1,0
103463,2,1,0
127505,23,1,0
347000,9,1,0
142783,28,1,0
180605,12,1,0
71424,12,1,0
48989,15,1,0
31697,12,1,0
119957,15,1,0
108942,25,2,1354
97833,47,1,0
20090,3,1,0
64712,12,1,0
91712,2,5,3191
59395,6,1,0
316874,18,1,0
320185,19,1,0
149503,26,1,0
2207,3,1,0
182917,19,1,0
136309,3,1,0
88281,1,2,163
13634,24,1,0
229888,29,1,0
80375,2,1,0
23693,15,1,0
164890,3,1,0
87058,19,1,0
119179,15,1,0
36504,3,1,0
58977,9,1,0
178058,18,1,0
80059,12,1,0
196783,3,1,0
188181,28,1,0
56439,18,1,0
201130,2,1,0
92852,365,1,0
18955,107,1,0
40849,62,1,0
116280,9,1,0
31047,9,1,0
321996,10,1,0
92614,23,1,0
11660,35,1,0
18037,9,1,0
266876,19,1,0
156053,12,1,0
280709,6,1,0
151745,3,1,0
74672,2,1,0
119349,22,1,0
53575,18,1,0
114802,3,1,0
90825,17,1,0
121107,35,1,0
67407,12,4,2621
182031,5,1,0
7308,3,1,0
115093,8,1,0
157862,8,1,0
39561,14,1,0
102301,21,1,0
37867,12,1,0
7708,3,2,210
173167,14,1,0
5299,9,1,0
109516,18,1,0
89402,9,1,0
103208,27,1,0
77209,8,1,0
103148,19,1,0
165191,15,1,0
90554,18,1,0
85329,9,3,1503
81508,12,1,0
245998,12,1,0
17628,18,1,0
276181,12,1,0
12769,9,1,0
154620,12,1,0
68626,15,1,0
89525,15,1,0
135996,35,1,0
13986,14,1,0
55208,19,1,0
87879,9,1,0
10307,3,1,0
44670,15,1,0
66210,10,1,0
84680,3,1,0
14645,11,2,480
349861,9,1,0
133329,9,1,0
28998,26,1,0
58667,12,1,0
99641,2,1,0
89113,21,1,0
70656,6,1,0
150754,5,1,0
29085,3,2,1839
46899,12,1,0
75422,18,1,0
7006,9,1,0
218722,19,1,0
77099,9,1,0
218765,3,1,0
191759,1,1,0
194833,26,1,0
177195,8,1,0
77457,3,1,0
69509,19,1,0
286538,121,1,0
13608,11,1,0
322843,26,1,0
100959,18,1,0
119369,6,1,0
70327,21,1,0
335022,9,1,0
186317,12,1,0
119558,2,1,0
295642,26,1,0
118690,3,1,0
31090,18,1,0
90695,2,1,0
48457,2,1,0
99256,19,1,0
121002,8,2,0
71482,64,1,0
284375,15,1,0
101474,28,1,0
273285,35,1,0
11881,26,1,0
68453,15,2,572
133558,2,1,0
101755,12,1,0
35849,35,1,0
107115,12,3,1335
260856,12,2,1508
14782,18,1,0
95095,12,1,0
200225,64,1,0
44194,13,1,0
201518,15,2,1374
32661,35,1,0
106040,18,1,0
53128,12,2,691
124541,9,1,0
87073,3,4,873
14903,15,1,0
39428,17,1,0
105762,3,1,0
125050,9,2,29
31425,3,1,0
155512,2,1,0
80539,1,1,0
